,id,q_0.1,q_0.2,q_0.3,q_0.4,q_0.5,q_0.6,q_0.7,q_0.8,q_0.9
714,7.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,7.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
716,7.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
717,7.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
718,7.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
719,7.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720,7.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
721,7.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
722,7.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
723,7.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
724,7.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,7.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
726,7.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
727,7.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
728,7.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
729,7.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
730,7.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
731,7.csv_Day8_5h30m,1.23,0.59,0.22,1.08,0.88,1.13,1.54,1.42,2.58
732,7.csv_Day8_6h00m,5.12,4.93,5.89,7.23,7.56,7.87,7.39,9.21,10.43
733,7.csv_Day8_6h30m,9.41,10.25,11.53,14.23,15.9,15.39,16.46,18.32,17.13
734,7.csv_Day8_7h00m,12.12,16.98,17.95,22.7,24.28,24.76,23.94,25.82,28.14
735,7.csv_Day8_7h30m,17.82,22.35,25.5,30.29,33.03,33.2,34.12,36.63,38.22
736,7.csv_Day8_8h00m,26.61,33.05,37.32,39.99,42.32,43.82,44.37,44.91,46.6
737,7.csv_Day8_8h30m,32.85,44.21,47.5,48.46,51.11,52.67,52.43,54.62,54.82
738,7.csv_Day8_9h00m,33.77,47.22,56.89,57.78,60.04,61.27,62.11,63.51,64.74
739,7.csv_Day8_9h30m,35.69,53.58,67.49,68.34,68.51,68.28,69.93,71.01,72.17
740,7.csv_Day8_10h00m,35.73,53.58,68.21,72.35,73.72,71.77,75.15,77.11,78.17
741,7.csv_Day8_10h30m,35.73,54.69,68.28,73.05,78.88,80.38,82.24,82.47,83.06
742,7.csv_Day8_11h00m,34.31,59.12,67.22,73.08,78.88,81.66,83.62,85.52,86.81
743,7.csv_Day8_11h30m,33.0,56.2,67.03,72.91,79.64,84.26,88.21,89.12,90.8
744,7.csv_Day8_12h00m,34.84,54.87,67.31,71.67,79.15,82.75,86.34,88.03,90.97
745,7.csv_Day8_12h30m,32.42,50.51,62.91,67.79,79.94,85.07,89.89,90.59,91.8
746,7.csv_Day8_13h00m,28.28,45.65,57.06,63.48,76.39,82.14,86.26,86.76,89.2
747,7.csv_Day8_13h30m,24.77,40.86,50.19,58.91,72.55,77.59,79.54,83.5,85.05
748,7.csv_Day8_14h00m,21.46,41.31,52.47,61.68,69.74,73.65,74.66,78.94,80.02
749,7.csv_Day8_14h30m,16.89,38.58,45.95,53.8,62.62,66.0,69.56,74.03,75.51
750,7.csv_Day8_15h00m,15.58,35.8,39.51,45.61,54.27,59.52,61.95,66.31,68.22
751,7.csv_Day8_15h30m,16.77,29.18,34.23,39.03,46.64,53.35,53.53,54.64,58.41
752,7.csv_Day8_16h00m,14.41,21.88,23.08,26.66,35.86,42.19,42.76,47.56,48.18
753,7.csv_Day8_16h30m,11.87,19.09,24.35,22.04,29.76,33.83,37.31,39.94,42.33
754,7.csv_Day8_17h00m,3.93,8.18,12.77,17.47,24.15,26.29,28.9,29.01,31.44
755,7.csv_Day8_17h30m,2.96,5.34,7.87,9.88,14.44,18.23,19.27,20.23,20.77
756,7.csv_Day8_18h00m,2.43,4.97,5.23,7.66,7.68,10.86,10.97,12.19,14.17
757,7.csv_Day8_18h30m,0.65,1.06,1.06,2.37,2.55,4.36,4.9,5.91,6.96
758,7.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.37,0.07,0.59,1.6
759,7.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.32
760,7.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
761,7.csv_Day8_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,7.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
763,7.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
764,7.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
765,7.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
766,7.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
767,7.csv_Day8_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
768,8.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
769,8.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
770,8.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
771,8.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
772,8.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
773,8.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
774,8.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
775,8.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
776,8.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777,8.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
778,8.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
779,8.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
780,8.csv_Day7_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
781,8.csv_Day7_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
782,8.csv_Day7_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.21
783,8.csv_Day7_7h30m,0.84,2.0,1.41,2.53,2.96,2.52,2.88,3.51,5.43
784,8.csv_Day7_8h00m,4.09,5.91,7.48,9.36,9.63,11.1,11.83,12.37,15.02
785,8.csv_Day7_8h30m,7.83,11.64,13.32,15.97,16.96,18.16,20.09,20.91,23.78
786,8.csv_Day7_9h00m,9.78,16.67,19.91,23.73,24.08,24.97,27.89,27.74,31.65
787,8.csv_Day7_9h30m,10.99,17.84,24.0,27.36,29.72,30.12,30.51,34.56,36.0
788,8.csv_Day7_10h00m,16.7,23.2,30.34,33.39,33.46,36.13,38.01,39.83,42.6
789,8.csv_Day7_10h30m,20.94,27.62,36.95,40.53,41.08,42.54,42.27,43.19,46.4
790,8.csv_Day7_11h00m,22.05,30.3,37.91,43.41,43.14,46.34,46.88,46.6,48.43
791,8.csv_Day7_11h30m,23.42,34.35,40.38,44.7,45.66,47.65,49.62,49.42,50.32
792,8.csv_Day7_12h00m,23.41,35.74,42.8,47.63,46.82,47.83,49.01,49.86,51.45
793,8.csv_Day7_12h30m,23.53,33.4,40.54,43.18,44.15,44.11,46.17,47.62,49.29
794,8.csv_Day7_13h00m,21.48,30.75,37.1,39.63,41.29,42.63,44.82,45.82,47.96
795,8.csv_Day7_13h30m,18.79,24.83,33.24,35.41,38.72,39.41,40.75,42.21,45.63
796,8.csv_Day7_14h00m,18.26,21.74,26.62,30.35,33.57,34.37,35.97,37.11,39.74
797,8.csv_Day7_14h30m,12.55,18.7,21.79,26.47,29.26,29.11,30.25,32.3,33.9
798,8.csv_Day7_15h00m,8.48,14.22,17.06,18.29,19.5,21.7,23.14,25.97,29.08
799,8.csv_Day7_15h30m,6.1,10.85,11.34,12.74,13.56,14.92,15.35,16.95,21.1
800,8.csv_Day7_16h00m,2.41,4.81,4.61,5.9,6.02,7.49,8.19,9.24,12.55
801,8.csv_Day7_16h30m,0.0,1.33,0.64,1.12,1.34,1.6,2.21,3.82,5.97
802,8.csv_Day7_17h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.09,0.12
803,8.csv_Day7_17h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.09,0.09
804,8.csv_Day7_18h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
805,8.csv_Day7_18h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
806,8.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
807,8.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
808,8.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809,8.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810,8.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811,8.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,8.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
813,8.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
814,8.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
815,8.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
816,8.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
817,8.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
818,8.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
819,8.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
820,8.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
821,8.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
822,8.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823,8.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
824,8.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
825,8.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
826,8.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
827,8.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
828,8.csv_Day8_6h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
829,8.csv_Day8_6h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
830,8.csv_Day8_7h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.59
831,8.csv_Day8_7h30m,1.7,0.76,2.26,2.46,2.52,2.56,2.94,4.07,5.94
832,8.csv_Day8_8h00m,5.98,4.74,7.59,8.26,9.74,10.03,11.14,11.6,13.99
833,8.csv_Day8_8h30m,9.17,9.13,15.09,15.46,17.64,17.99,19.68,20.42,22.06
834,8.csv_Day8_9h00m,12.66,18.23,25.16,22.7,25.71,26.66,28.6,27.59,31.91
835,8.csv_Day8_9h30m,12.01,18.84,28.45,27.94,29.75,31.8,32.88,35.42,37.41
836,8.csv_Day8_10h00m,18.75,25.35,35.45,33.52,34.26,37.48,39.14,40.01,43.53
837,8.csv_Day8_10h30m,21.74,29.05,41.45,39.49,40.96,43.52,43.84,43.38,45.35
838,8.csv_Day8_11h00m,24.18,35.48,44.8,43.73,43.43,45.06,46.64,47.0,49.9
839,8.csv_Day8_11h30m,30.03,42.01,46.47,47.77,44.7,47.16,48.32,49.15,52.49
840,8.csv_Day8_12h00m,29.78,43.08,49.71,49.21,46.6,48.45,49.68,50.52,53.02
841,8.csv_Day8_12h30m,29.13,39.73,44.07,45.38,45.93,48.83,47.62,47.77,49.43
842,8.csv_Day8_13h00m,25.39,32.1,40.02,41.41,42.93,44.96,44.81,45.42,47.8
843,8.csv_Day8_13h30m,18.41,24.58,35.7,36.66,40.79,41.64,41.97,42.55,45.04
844,8.csv_Day8_14h00m,15.0,20.5,30.25,29.99,34.64,35.44,36.71,36.63,41.41
845,8.csv_Day8_14h30m,11.8,17.83,28.08,26.13,30.58,29.18,31.21,30.71,35.48
846,8.csv_Day8_15h00m,8.08,17.15,23.69,19.83,23.11,24.46,24.32,24.53,28.2
847,8.csv_Day8_15h30m,6.13,11.02,13.8,14.12,15.22,15.87,16.7,16.01,19.75
848,8.csv_Day8_16h00m,3.74,4.44,6.48,7.93,7.94,7.57,8.62,9.08,11.51
849,8.csv_Day8_16h30m,0.58,0.5,1.47,1.57,1.79,1.65,2.0,2.76,5.75
850,8.csv_Day8_17h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.06,0.31
851,8.csv_Day8_17h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.23
852,8.csv_Day8_18h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
853,8.csv_Day8_18h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
854,8.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
855,8.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
856,8.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
857,8.csv_Day8_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
858,8.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
859,8.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
860,8.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
861,8.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
862,8.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
863,8.csv_Day8_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
864,9.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
865,9.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866,9.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867,9.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
868,9.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
869,9.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
870,9.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
871,9.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
872,9.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
873,9.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
874,9.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
875,9.csv_Day7_5h30m,1.39,1.13,1.1,1.13,1.0,1.15,1.62,2.42,2.41
876,9.csv_Day7_6h00m,5.94,7.09,7.47,7.56,7.87,7.96,9.8,9.54,10.83
877,9.csv_Day7_6h30m,12.19,15.39,15.54,14.78,16.22,16.67,17.3,19.62,19.66
878,9.csv_Day7_7h00m,17.47,21.67,24.28,25.95,26.07,26.52,26.6,29.92,29.68
879,9.csv_Day7_7h30m,21.39,29.33,32.57,33.88,36.71,35.34,36.57,37.81,39.74
880,9.csv_Day7_8h00m,29.46,41.74,46.34,47.81,47.69,49.55,49.81,48.55,51.16
881,9.csv_Day7_8h30m,34.8,46.89,52.53,56.39,57.17,58.1,58.74,59.61,59.53
882,9.csv_Day7_9h00m,35.23,54.78,60.54,63.92,65.18,65.86,67.16,67.38,67.75
883,9.csv_Day7_9h30m,34.73,54.31,65.37,69.08,70.6,71.1,72.55,73.29,73.63
884,9.csv_Day7_10h00m,35.1,55.1,69.65,73.89,76.98,77.63,78.64,78.09,79.27
885,9.csv_Day7_10h30m,36.26,57.81,69.69,75.96,80.42,81.61,83.19,83.13,83.2
886,9.csv_Day7_11h00m,42.05,59.43,71.31,76.75,80.81,83.48,86.32,86.14,88.47
887,9.csv_Day7_11h30m,43.01,59.92,69.43,76.18,80.28,85.16,87.54,88.4,90.16
888,9.csv_Day7_12h00m,32.76,50.56,68.06,75.33,80.42,85.09,88.19,89.01,90.61
889,9.csv_Day7_12h30m,30.91,46.5,64.91,73.53,80.45,85.06,87.88,88.45,89.64
890,9.csv_Day7_13h00m,28.07,43.94,60.99,71.04,80.29,82.31,84.6,86.39,87.4
891,9.csv_Day7_13h30m,23.63,38.28,55.91,67.69,76.86,79.97,82.06,83.66,84.68
892,9.csv_Day7_14h00m,22.81,35.78,52.98,63.39,72.21,75.52,77.25,79.21,79.07
893,9.csv_Day7_14h30m,18.97,33.39,46.85,57.52,65.38,67.36,71.37,75.02,73.77
894,9.csv_Day7_15h00m,15.16,25.77,37.83,46.64,54.49,59.7,62.95,64.68,66.31
895,9.csv_Day7_15h30m,12.99,21.79,31.91,42.74,47.51,51.59,53.84,57.18,59.12
896,9.csv_Day7_16h00m,6.3,19.06,29.49,38.52,42.1,45.56,47.06,48.03,51.24
897,9.csv_Day7_16h30m,3.56,13.98,20.65,26.38,29.9,33.5,35.33,36.89,39.27
898,9.csv_Day7_17h00m,3.07,8.97,14.37,18.75,20.26,24.41,25.65,27.7,29.19
899,9.csv_Day7_17h30m,2.78,7.57,9.08,10.68,13.05,14.88,17.52,18.05,20.08
900,9.csv_Day7_18h00m,1.33,3.89,4.81,6.23,7.47,7.72,9.03,10.46,10.57
901,9.csv_Day7_18h30m,0.53,1.08,1.0,1.52,1.77,2.41,2.58,2.69,3.33
902,9.csv_Day7_19h00m,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.19,0.3
903,9.csv_Day7_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
904,9.csv_Day7_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
905,9.csv_Day7_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
906,9.csv_Day7_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
907,9.csv_Day7_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
908,9.csv_Day7_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
909,9.csv_Day7_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
910,9.csv_Day7_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
911,9.csv_Day7_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
912,9.csv_Day8_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
913,9.csv_Day8_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
914,9.csv_Day8_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
915,9.csv_Day8_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
916,9.csv_Day8_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
917,9.csv_Day8_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
918,9.csv_Day8_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
919,9.csv_Day8_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
920,9.csv_Day8_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
921,9.csv_Day8_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
922,9.csv_Day8_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
923,9.csv_Day8_5h30m,0.0,0.0,0.0,0.0,0.62,0.84,1.4,1.26,2.65
924,9.csv_Day8_6h00m,4.04,3.25,4.54,5.82,7.44,7.54,8.95,10.24,10.92
925,9.csv_Day8_6h30m,7.48,9.72,11.85,13.46,15.58,16.57,17.9,18.06,18.97
926,9.csv_Day8_7h00m,10.15,15.37,20.24,23.02,25.49,27.25,26.67,29.15,29.78
927,9.csv_Day8_7h30m,14.48,20.48,29.65,32.74,35.53,34.98,37.56,39.17,41.33
928,9.csv_Day8_8h00m,20.7,30.96,40.92,43.62,46.23,47.04,48.49,48.41,49.31
929,9.csv_Day8_8h30m,25.18,41.26,51.0,53.94,55.65,56.46,56.87,57.16,58.06
930,9.csv_Day8_9h00m,25.94,44.95,54.16,59.35,61.68,62.39,63.29,64.65,66.25
931,9.csv_Day8_9h30m,27.98,47.59,59.67,62.84,67.6,67.64,70.07,71.3,71.98
932,9.csv_Day8_10h00m,27.87,47.59,60.84,67.12,74.4,74.42,77.28,77.19,78.35
933,9.csv_Day8_10h30m,27.29,48.3,59.42,67.18,77.4,78.92,80.68,80.78,81.79
934,9.csv_Day8_11h00m,24.66,47.0,61.66,71.9,77.49,80.79,83.54,85.58,85.29
935,9.csv_Day8_11h30m,26.13,43.27,58.7,71.9,78.39,81.78,85.78,87.55,88.67
936,9.csv_Day8_12h00m,23.3,40.81,61.72,71.15,77.79,81.44,85.62,88.71,90.12
937,9.csv_Day8_12h30m,20.42,37.84,56.61,68.04,76.54,81.26,86.0,88.0,89.39
938,9.csv_Day8_13h00m,19.66,33.38,52.65,64.75,75.56,80.58,84.16,86.87,87.43
939,9.csv_Day8_13h30m,13.86,29.02,48.48,58.42,70.8,75.96,80.12,83.93,84.12
940,9.csv_Day8_14h00m,12.92,27.87,47.5,57.68,65.69,71.05,75.37,79.2,79.06
941,9.csv_Day8_14h30m,10.38,25.78,40.11,48.82,59.42,64.08,69.94,73.56,75.09
942,9.csv_Day8_15h00m,6.45,18.82,31.15,41.47,51.8,59.8,63.77,65.53,67.48
943,9.csv_Day8_15h30m,7.37,17.36,26.58,34.36,43.4,52.06,54.13,56.07,58.34
944,9.csv_Day8_16h00m,6.92,13.63,21.71,27.82,36.49,42.36,45.43,49.3,48.9
945,9.csv_Day8_16h30m,3.36,8.49,18.55,20.65,28.95,31.74,36.03,37.0,39.39
946,9.csv_Day8_17h00m,2.55,5.69,10.65,12.7,19.75,22.75,25.89,27.38,29.7
947,9.csv_Day8_17h30m,1.54,2.29,5.51,8.77,12.07,14.45,16.1,17.17,19.08
948,9.csv_Day8_18h00m,1.17,0.35,2.54,4.25,6.41,7.32,9.59,9.88,11.42
949,9.csv_Day8_18h30m,0.01,0.0,0.0,0.0,1.42,1.65,2.28,2.92,3.15
950,9.csv_Day8_19h00m,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.23
951,9.csv_Day8_19h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
952,9.csv_Day8_20h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
953,9.csv_Day8_20h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
954,9.csv_Day8_21h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
955,9.csv_Day8_21h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
956,9.csv_Day8_22h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
957,9.csv_Day8_22h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
958,9.csv_Day8_23h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
959,9.csv_Day8_23h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
960,10.csv_Day7_0h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
961,10.csv_Day7_0h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
962,10.csv_Day7_1h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
963,10.csv_Day7_1h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
964,10.csv_Day7_2h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
965,10.csv_Day7_2h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
966,10.csv_Day7_3h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
967,10.csv_Day7_3h30m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
968,10.csv_Day7_4h00m,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
969,10.csv_Day7_4h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
970,10.csv_Day7_5h00m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
971,10.csv_Day7_5h30m,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.05,0.09
972,10.csv_Day7_6h00m,0.23,0.77,0.76,1.12,1.24,1.58,1.67,1.32,1.56
973,10.csv_Day7_6h30m,2.27,3.92,4.13,5.18,5.6,6.73,6.33,6.25,7.16
974,10.csv_Day7_7h00m,5.15,7.99,11.75,13.15,14.38,15.05,14.88,15.74,17.47
975,10.csv_Day7_7h30m,7.61,14.15,19.91,22.25,23.29,25.7,25.15,26.66,27.44
976,10.csv_Day7_8h00m,12.29,20.8,26.59,31.32,32.84,35.81,35.12,37.78,37.24
977,10.csv_Day7_8h30m,17.73,29.15,38.81,41.49,42.73,44.76,44.97,45.75,47.1
978,10.csv_Day7_9h00m,26.54,35.03,44.22,50.23,51.87,53.64,55.67,56.09,58.6
979,10.csv_Day7_9h30m,30.57,41.21,50.4,56.83,60.28,61.13,62.52,63.97,65.73
980,10.csv_Day7_10h00m,30.25,44.97,53.25,61.11,64.2,65.76,66.08,70.42,70.81
981,10.csv_Day7_10h30m,24.26,41.18,51.29,62.25,67.42,68.49,70.96,74.52,77.27
